origin/claude/apps/android/prisme-device-locale-priority	CONTENT_MERGED_PATCHID	PR_MERGED	#2208
origin/claude/apps/android/profile-avatar-banner-upload	CONTENT_MERGED_PATCHID	PR_MERGED	#1878
origin/claude/apps/android/profile-header-presentation	CONTENT_MERGED_PATCHID	PR_MERGED	#1482
origin/claude/apps/android/profile-presence-window-reconcile	CONTENT_MERGED_PATCHID	PR_MERGED	#2254
origin/claude/apps/android/profile-share	CONTENT_MERGED_PATCHID	PR_MERGED	#1864
origin/claude/apps/android/profile-stats-presentation	CONTENT_MERGED_PATCHID	PR_MERGED	#1489
origin/claude/apps/android/profile-stats-room-cache	CONTENT_MERGED_PATCHID	PR_MERGED	#1496
origin/claude/apps/android/realtime-session-coordinator	CONTENT_MERGED_PATCHID	PR_MERGED	#1321
origin/claude/apps/android/registration-nav-chrome	CONTENT_MERGED_PATCHID	PR_MERGED	#2321
origin/claude/apps/android/registration-progress-bar-core	SUBJECT_LANDED_SQUASH	PR_MERGED	#2272
origin/claude/apps/android/registration-recap-summary	CONTENT_MERGED_PATCHID	PR_MERGED	#2316
origin/claude/apps/android/registration-regional-language	CONTENT_MERGED_PATCHID	PR_MERGED	#2318
origin/claude/apps/android/registration-step-gate-core	CONTENT_MERGED_PATCHID	PR_MERGED	#2277
origin/claude/apps/android/registration-step-navigation-core	CONTENT_MERGED_PATCHID	PR_MERGED	#2274
origin/claude/apps/android/registration-wizard-viewmodel	CONTENT_MERGED_PATCHID	PR_MERGED	#2290
origin/claude/apps/android/report-user	CONTENT_MERGED_PATCHID	PR_MERGED	#1861
origin/claude/apps/android/settings-about-screen	CONTENT_MERGED_PATCHID	PR_MERGED	#1886
origin/claude/apps/android/settings-account-deletion	CONTENT_MERGED_PATCHID	PR_MERGED	#1867
origin/claude/apps/android/settings-change-password	CONTENT_MERGED_PATCHID	PR_MERGED	#1826
origin/claude/apps/android/settings-crash-diagnostics	CONTENT_MERGED_PATCHID	PR_MERGED	#1884
origin/claude/apps/android/settings-data-export	SUBJECT_LANDED_SQUASH	PR_MERGED	#1870
origin/claude/apps/android/settings-dnd-schedule	CONTENT_MERGED_PATCHID	PR_MERGED	#1517
origin/claude/apps/android/settings-help-support	CONTENT_MERGED_PATCHID	PR_MERGED	#1892
origin/claude/apps/android/settings-interface-language	CONTENT_MERGED_PATCHID	PR_MERGED	#1508
origin/claude/apps/android/settings-legal-documents	SUBJECT_LANDED_SQUASH	PR_MERGED	#1887
origin/claude/apps/android/settings-media-auto-download	CONTENT_MERGED_PATCHID	PR_MERGED	#1829
origin/claude/apps/android/settings-media-cache	CONTENT_MERGED_PATCHID	PR_MERGED	#1874
origin/claude/apps/android/settings-notification-prefs	CONTENT_MERGED_PATCHID	PR_MERGED	#1512
origin/claude/apps/android/settings-notification-prefs-sync	CONTENT_MERGED_PATCHID	PR_MERGED	#1526
origin/claude/apps/android/settings-open-source-licenses	SUBJECT_LANDED_SQUASH	PR_MERGED	#1894
origin/claude/apps/android/settings-privacy-preferences	CONTENT_MERGED_PATCHID	PR_MERGED	#1833
origin/claude/apps/android/settings-privacy-preferences-sync	CONTENT_MERGED_PATCHID	PR_MERGED	#1844
origin/claude/apps/android/settings-regional-content-language	CONTENT_MERGED_PATCHID	PR_MERGED	#1530
origin/claude/apps/android/settings-theme-mode	CONTENT_MERGED_PATCHID	PR_MERGED	#1504
origin/claude/apps/android/sharelink-create	CONTENT_MERGED_PATCHID	PR_MERGED	#2306
origin/claude/apps/android/sharelink-created-sheet	CONTENT_MERGED_PATCHID	PR_MERGED	#2312
origin/claude/apps/android/sharelink-detail	CONTENT_MERGED_PATCHID	PR_MERGED	#2314
origin/claude/apps/android/sharelink-extend-expiry	CONTENT_MERGED_PATCHID	PR_MERGED	#2310
origin/claude/apps/android/sharelink-guest-join-form	CONTENT_MERGED_PATCHID	PR_MERGED	#2304
origin/claude/apps/android/sharelink-my-links	CONTENT_MERGED_PATCHID	PR_MERGED	#2308
origin/claude/apps/android/signup-availability-probe	CONTENT_MERGED_PATCHID	PR_MERGED	#2292
origin/claude/apps/android/slide-drag-reorder	CONTENT_MERGED_PATCHID	PR_MERGED	#1020
origin/claude/apps/android/status-bar-compose	CONTENT_MERGED_PATCHID	PR_MERGED	#2052
origin/claude/apps/android/status-bar-l1-cache	CONTENT_MERGED_PATCHID	PR_MERGED	#2061
origin/claude/apps/android/status-bar-l2-cache	CONTENT_MERGED_PATCHID	PR_MERGED	#2068
origin/claude/apps/android/status-composer	CONTENT_MERGED_PATCHID	PR_MERGED	#2055
origin/claude/apps/android/status-feed-mode-toggle	CONTENT_MERGED_PATCHID	PR_MERGED	#2065
origin/claude/apps/android/status-mood-core	CONTENT_MERGED_PATCHID	PR_MERGED	#2046
origin/claude/apps/android/status-popover-republish	CONTENT_MERGED_PATCHID	PR_MERGED	#2058
origin/claude/apps/android/status-reaction-picker	CONTENT_MERGED_PATCHID	PR_MERGED	#2063
origin/claude/apps/android/status-realtime-socket	CONTENT_MERGED_PATCHID	PR_MERGED	#2073
origin/claude/apps/android/status-repository	SUBJECT_LANDED_SQUASH	PR_MERGED	#2048
origin/claude/apps/android/status-strings-i18n	CONTENT_MERGED_PATCHID	PR_MERGED	#2070
origin/claude/apps/android/status-unreacted-socket	SUBJECT_LANDED_SQUASH	PR_MERGED	#2075
origin/claude/apps/android/statuses-viewmodel	CONTENT_MERGED_PATCHID	PR_MERGED	#2050
origin/claude/apps/android/story-autoadvance-media-gate	CONTENT_MERGED_PATCHID	PR_MERGED	#914
origin/claude/apps/android/story-canvas-snap-guides	SUBJECT_LANDED_SQUASH	PR_MERGED	#1048
origin/claude/apps/android/story-canvas-transform	CONTENT_MERGED_PATCHID	PR_MERGED	#1029
origin/claude/apps/android/story-comments-overlay	CONTENT_MERGED_PATCHID	PR_MERGED	#904
origin/claude/apps/android/story-composer	CONTENT_MERGED_PATCHID	PR_MERGED	#958
origin/claude/apps/android/story-composer-band	CONTENT_MERGED_PATCHID	PR_MERGED	#1052
origin/claude/apps/android/story-composer-media	SUBJECT_LANDED_SQUASH	PR_MERGED	#979
origin/claude/apps/android/story-composer-media-cap	CONTENT_MERGED_PATCHID	PR_MERGED	#981
origin/claude/apps/android/story-composer-multi-pending	CONTENT_MERGED_PATCHID	PR_MERGED	#1012
origin/claude/apps/android/story-composer-multipick	CONTENT_MERGED_PATCHID	PR_MERGED	#982
origin/claude/apps/android/story-composer-offline-media	CONTENT_MERGED_PATCHID	PR_MERGED	#996
origin/claude/apps/android/story-composer-optimistic-tray	CONTENT_MERGED_PATCHID	PR_MERGED	#960
origin/claude/apps/android/story-composer-slide-deck	CONTENT_MERGED_PATCHID	PR_MERGED	#1016
origin/claude/apps/android/story-floating-toolbar	CONTENT_MERGED_PATCHID	PR_MERGED	#1042
origin/claude/apps/android/story-media-prefetch	CONTENT_MERGED_PATCHID	PR_MERGED	#910
origin/claude/apps/android/story-publish-retry	CONFLICT_CODE	PR_MERGED	#962
origin/claude/apps/android/story-reaction-socket-delta	CONTENT_MERGED_PATCHID	PR_MERGED	#894
origin/claude/apps/android/story-slide-deck	CONTENT_MERGED_PATCHID	PR_MERGED	#1014
origin/claude/apps/android/story-slide-media	CONTENT_MERGED_PATCHID	PR_MERGED	#1026
origin/claude/apps/android/story-sticker-picker-search	SUBJECT_LANDED_SQUASH	PR_MERGED	#1135
origin/claude/apps/android/story-text-element-duplicate	CONTENT_MERGED_PATCHID	PR_MERGED	#1058
origin/claude/apps/android/story-text-element-styling	CONTENT_MERGED_PATCHID	PR_MERGED	#1036
origin/claude/apps/android/story-text-element-transform	SUBJECT_LANDED_SQUASH	PR_MERGED	#1045
origin/claude/apps/android/story-text-elements	CONTENT_MERGED_PATCHID	PR_MERGED	#1034
origin/claude/apps/android/story-tray-count-dots	CONTENT_MERGED_PATCHID	PR_MERGED	#907
origin/claude/apps/android/story-tray-swr	CONTENT_MERGED_PATCHID	PR_MERGED	#900
origin/claude/apps/android/story-viewer-playback	CONTENT_MERGED_PATCHID	PR_MERGED	#887
origin/claude/apps/android/story-viewer-reactions	CONTENT_MERGED_PATCHID	PR_MERGED	#891
origin/claude/apps/android/story-viewer-swipe-gestures	CONTENT_MERGED_PATCHID	PR_MERGED	#893
origin/claude/apps/android/story-viewers-sheet	CONTENT_MERGED_PATCHID	PR_MERGED	#896
origin/claude/apps/android/time-relative-classify	CONTENT_MERGED_PATCHID	PR_MERGED	#1904
origin/claude/apps/android/time-relative-format-strings	CONTENT_MERGED_PATCHID	PR_MERGED	#1935
origin/claude/apps/android/time-relative-long-format-strings	SUBJECT_LANDED_SQUASH	PR_MERGED	#1936
origin/claude/apps/android/time-relative-long-label	CONTENT_MERGED_PATCHID	PR_MERGED	#1923
origin/claude/apps/android/translation-language-catalog	CONTENT_MERGED_PATCHID	PR_MERGED	#1789
origin/claude/awesome-albattani-xaqlhj	CONFLICT_CODE	PR_MERGED	#587
origin/claude/blissful-ritchie-8rma6f	CONTENT_MERGED_PATCHID	PR_CLOSED_UNMERGED	#606
origin/claude/blissful-ritchie-9jc6xs	CONFLICT_CODE	PR_CLOSED_UNMERGED	#615
origin/claude/brave-archimedes-0gfitu	CONTENT_MERGED_PATCHID	PR_MERGED	#2215
origin/claude/brave-archimedes-0q7usv	CONTENT_MERGED_PATCHID	PR_MERGED	#1590,#1621
origin/claude/brave-archimedes-0wmrme	CONFLICT_CODE	NO_PR	-
